          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20130510           2000         0.8740         0.9590         1.3010         1.5270         1.5330         1.6790        28.5900         0.7770         0.8810         0.8398         1.7845         6.6910       306.0000        87.0870        23.0000        19.0000        93.1752         1.2230         1.0290
       20130519           1700         0.7560         0.8390         1.1570         1.2570         1.2650         1.4050        52.2540         0.8040         0.8590         0.3446         1.2651        15.1230       577.0000       163.2174        23.0000        18.0000        93.3898         0.7990         0.7990
       20130519           1929         0.7990         0.8690         1.1730         1.3540         1.3600         1.5020        24.3860         0.7260         0.8870         0.6507         1.5317        16.5520       317.0000        61.7692        26.0000        16.0000        93.4541         1.1490         1.1540
       20130525           1914         0.9010         0.9900         1.3230         1.6480         1.6560         1.8000        24.8990         0.9640         1.1580         1.2797         1.5939        11.0920       575.0000       181.7500        16.0000        12.0000        93.5310         1.0140         0.9810
       20130526           2000         0.6130         0.7060         1.0910         1.1270         1.1380         1.3350        38.5320         0.6390         0.6930         0.6934         1.5212        14.6980       401.0000        75.5789        38.0000        21.0000        93.4599         0.8540         0.7760
       20130527           1900         0.8930         0.9740         1.3190         1.5390         1.5460         1.6890        63.8390         1.1330         1.2660         0.7973         1.6420        14.6980       614.0000       138.5185        27.0000        17.0000        93.4970         0.9100         0.8410
       20130528           2000         0.7080         0.7750         1.0590         1.1010         1.1080         1.2380        90.9270         0.4400         0.4800         0.5322         1.0421        16.1510       643.0000       561.1111         9.0000         9.0000        93.4458         0.9320         0.9930
       20130529           1700         0.6820         0.7550         1.0620         1.1140         1.1210         1.2720        68.7090         0.5920         0.6140         0.3474         1.4252        17.7340       649.0000       568.4445         9.0000         9.0000        93.4276         0.7740         0.7380
       20130531           2000         0.4500         0.5360         0.8740         0.7650         0.7780         0.9770        58.5840         0.2560         0.3150         0.8895         1.0627         6.2330       547.0000       193.5714        21.0000        17.0000        93.4273         1.2910         1.1760
       20130604           2000         0.6160         0.7100         1.0580         1.0960         1.1070         1.2830        38.7620         0.6120         0.8120         0.5826         1.8365         6.2910       542.0000       124.8889        27.0000        16.0000        93.4632         1.0640         1.0380
       20130605           1910         0.6780         0.7910         1.2320         1.3830         1.3960         1.6140        37.6370         0.7620         1.0250         1.4889         1.6052         2.3720       648.0000       116.0000        22.0000        10.0000        92.4823         1.0340         0.9370
       20130606           1900         0.9610         1.0490         1.3860         1.6420         1.6480         1.7740        28.3260         1.3770         1.7960         1.9085         1.9304         5.9410       267.0000        71.8400        25.0000        14.0000        84.3539         1.8090         1.8400
       20130616           1900         1.5970         1.6860         2.0120         2.5220         2.5250         2.5990        17.6890         1.7590         2.3860         1.3361         2.8116         2.7560       386.0000       119.4545        11.0000         6.0000        59.6067         2.0950         1.7490
       20130617           2000         0.8740         0.9480         1.2460         1.4340         1.4390         1.5630        16.2180         0.8440         1.1530         1.2328         1.7905         5.1460       598.0000        69.6923        26.0000        13.0000        93.8716         1.0400         0.9030
       20130618           2006         0.5520         0.6460         1.0400         1.0810         1.0930         1.3330        19.2520         0.7980         1.2900         1.1770         2.5211         1.3240       256.0000        86.8000        15.0000        10.0000        73.9777         1.8080         1.6760
       20130619           1830         0.9650         1.0430         1.3540         1.6410         1.6460         1.7670        35.6830         1.0660         1.4180         1.1656         2.1449         9.1190       275.0000        72.2727        33.0000        20.0000        93.2158         1.3310         1.1760
       20130624           2100         0.9880         1.0420         1.2830         1.4220         1.4250         1.5120         4.2230         1.4330         1.9960         0.8305         2.4029        12.7280        47.0000        18.7857        14.0000         4.0000        86.0176         1.8110         1.4960
       20130625           2100         0.9270         1.0030         1.2780         1.4400         1.4450         1.5510        13.8730         1.3950         1.8410         0.8330         2.2465        14.8750       198.0000        44.1500        20.0000         7.0000        93.1605         1.6480         1.4340
       20130630           1830         1.0780         1.1990         1.5760         1.8810         1.8880         2.0050        13.7490         2.7730         4.2750         1.8074         2.5861           -NaN       121.0000        57.8750         8.0000         5.0000        48.6244         2.4040         2.0690
       20130701           1800         0.9750         1.0350         1.3170         1.6080         1.6130         1.7260        14.4430         1.7570         2.3890         0.7781         2.3862           -NaN       269.0000       116.7778         9.0000         8.0000        37.3507         2.3820         2.0830
       20130702           1700         1.9760         2.0780         2.2790         3.1130         3.1170         3.1540         7.3680         1.7370         2.2120         2.5471         2.4657           -NaN       231.0000       124.2500         4.0000         3.0000        48.3617         2.4850         2.2190
